full_nm,nickname,country,age_in_2023,sig_str_pm,str_acc_percentage,str_abs_pm,str_def_percentage,td_avg_15m,td_acc_percentage,td_def_percentage,sub_avg_15m
Shamil Abdurakhimov,Abrek,RUS,29, 2.41, 44, 3.02, 55, 1.01, 23, 45, 0.1
Mariya Agapova,Demonslayer,KAZ,27, 4.67, 55, 3.82, 52, 0.59, 66, 47, 0.9
Kevin Aguilar,Angel of Death,USA,27, 3.96, 40, 4.81, 52, 0.16, 16, 78, 0.0
Amir Albazi,The Prince,RUS,31, 2.80, 39, 3.07, 63, 1.71, 33, 40, 0.7
Irene Aldana,,MEX,31, 4.86, 39, 5.71, 59, 0.17, 50, 75, 0.3
JJ Aldrich,,USA,34, 3.98, 45, 4.74, 59, 0.82, 25, 70, 0.0
Bill Algeo,Senor Perfecto,USA,31, 5.93, 53, 4.32, 46, 0.87, 42, 55, 0.1
Arnold Allen,Almighty,ENG,31, 3.34, 40, 2.86, 61, 1.12, 50, 76, 0.3
Brendan Allen,All In,USA,31, 3.96, 53, 3.89, 46, 1.22, 42, 55, 1.6
Jailton Almeida,Malhadinho,BRA,31, 3.81, 64, 0.30, 25, 6.40, 68, 50, 2.5
Lucas Almeida,,BRA,27, 5.29, 47, 5.29, 45, 0.00, 0, 40, 0.0
Victor Altamirano,El Magnifico,USA,28, 5.00, 57, 3.99, 53, 2.12, 25, 63, 0.0
Rafael Alves,The Turn,BRA,29, 1.85, 48, 3.30, 58, 0.29, 25, 44, 1.5
Sam Alvey,Smile'N,USA,29, 3.28, 44, 3.63, 52, 0.06, 14, 82, 0.1
Alen Amedovski,,MKD,35, 0.99, 30, 3.85, 46, 0.00, 0, 0, 0.0
Makwan Amirkhani,Mr. Finland,FIN,27, 1.33, 44, 2.98, 46, 3.96, 43, 35, 1.1
Eryk Anders,Ya Boi,USA,31, 3.56, 47, 4.39, 50, 1.54, 24, 79, 0.1
Chad Anheliger,The Monster,CAN,31, 3.51, 43, 3.31, 55, 0.00, 0, 47, 1.0
Magomed Ankalaev,,RUS,27, 3.55, 52, 2.15, 59, 0.99, 29, 86, 0.0
Julio Arce,,USA,34, 4.38, 36, 3.10, 68, 0.49, 30, 95, 0.4
Garrett Armfield,,USA,31, 2.56, 29, 3.53, 59, 0.00, 0, 66, 0.0
Askar Askarov,Bullet,RUS,31, 3.05, 54, 2.80, 57, 2.60, 24, 66, 0.4
Tom Aspinall,,ENG,28, 7.41, 65, 2.87, 64, 4.00, 100, 100, 2.0
Julia Avila,Raging Panda,USA,34, 3.18, 44, 2.86, 55, 0.67, 33, 61, 0.3
Abu Azaitar,Captain Morocco,MAR,37, 5.21, 44, 5.35, 50, 0.50, 25, 40, 0.0
Ottman Azaitar,Bulldozer,MAR,29, 6.97, 54, 2.63, 63, 0.00, 0, 100, 0.0
Melsik Baghdasaryan,The Gun,ARM,27, 5.63, 61, 3.28, 55, 0.00, 0, 76, 0.0
Ignacio Bahamondes,La Jaula,AFG,31, 7.93, 48, 4.51, 58, 0.00, 0, 95, 0.5
Maycee Barber,The Future,USA,27, 4.60, 52, 2.72, 54, 1.14, 35, 45, 0.1
Edson Barboza,Junior,BRA,31, 4.00, 44, 4.12, 58, 0.38, 44, 75, 0.1
Raoni Barcelos,,BRA,29, 5.69, 52, 5.06, 61, 1.63, 41, 93, 0.4
Chris Barnett,Beastboy,USA,27, 4.41, 48, 5.87, 40, 0.00, 0, 33, 0.0
Javid Basharat,The Snow Leopard,ENG,31, 5.64, 60, 2.30, 66, 2.03, 57, 85, 0.2
Bryan Battle,Pooh Bear,USA,31, 4.47, 54, 4.00, 40, 0.79, 20, 38, 0.4
Mario Bautista,,USA,27, 5.33, 50, 3.73, 54, 2.91, 68, 62, 1.3
Erin Blanchfield,Cold Blooded,USA,31, 6.06, 54, 3.22, 61, 3.76, 63, 77, 1.6
Curtis Blaydes,Razor,USA,31, 3.56, 49, 1.89, 59, 5.93, 53, 33, 0.0
Denys Bondar,Psycho,UKR,31, 4.89, 45, 6.42, 56, 2.75, 50, 62, 0.0
Caio Borralho,The Natural,BRA,31, 2.59, 61, 1.86, 59, 2.63, 66, 57, 0.7
Viacheslav Borshchev,Slava Claus,RUS,28, 4.63, 57, 3.44, 56, 0.00, 0, 35, 0.0
Tanner Boser,The Bulldozer,CAN,28, 4.17, 51, 2.47, 60, 0.00, 0, 61, 0.0
Mike Breeden,Money,USA,27, 5.43, 42, 6.38, 41, 1.44, 37, 59, 0.0
Joanderson Brito,Tubarao,BRA,34, 4.02, 52, 2.92, 50, 3.89, 72, 0, 0.5
Cody Brundage,,ENG,27, 1.79, 54, 2.18, 46, 2.42, 47, 73, 1.2
Joaquin Buckley,New Mansa,USA,34, 3.76, 32, 3.42, 55, 1.43, 34, 66, 0.0
Martin Buday,Badys,RUS,27, 5.22, 51, 5.33, 55, 0.00, 0, 100, 0.0
Shane Burgos,Hurricane,USA,29, 7.40, 52, 6.78, 56, 0.43, 44, 91, 0.4
Herbert Burns,The Blaze,BRA,31, 1.61, 51, 4.74, 30, 3.92, 75, 60, 3.3
JP Buys,Young Savage,RSA,34, 1.89, 44, 3.02, 39, 1.65, 26, 25, 2.5
Alex Caceres,Bruce Leeroy,USA,35, 4.16, 51, 2.87, 63, 0.59, 68, 64, 0.7
Priscila Cachoeira,Zombie Girl,BRA,29, 4.68, 43, 7.85, 46, 0.21, 33, 65, 0.0
Cynthia Calvillo,,USA,31, 4.41, 38, 4.12, 64, 1.80, 44, 77, 0.8
