last,first,full_nm,nickname,ht,wt,reach,stance,w,l,d,belt,country,age_in_2023,active
Aaron,Tom,Tom Aaron,,--,155 lbs.,--,,5,3,0,FALSE,USA,28,FALSE
Abbadi,Danny,Danny Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,FALSE,RUS,31,FALSE
Abbasov,Nariman,Nariman Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,FALSE,KGZ,29,FALSE
Abbott,David,David Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,FALSE,USA,31,FALSE
Abdelwahab,Hamdy,Hamdy Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,FALSE,EGY,31,FALSE
Abdurakhimov,Shamil,Shamil Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,FALSE,RUS,29,TRUE
Abe,Hiroyuki,Hiroyuki Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,FALSE,JPN,31,FALSE
Abe,Daichi,Daichi Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,FALSE,JPN,31,FALSE
Abedi,Papy,Papy Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,FALSE,SWE,29,FALSE
Abreu,Ricardo,Ricardo Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,FALSE,BRA,29,FALSE
Abreu,Klidson,Klidson Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,FALSE,BRA,27,FALSE
Abreu,Cyborg,Cyborg Abreu,,--,--,--,,0,0,0,FALSE,BRA,31,FALSE
Acacio,Daniel,Daniel Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,FALSE,BRA,31,FALSE
Adajar,John,John Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,FALSE,RUS,34,FALSE
Adams,Scott,Scott Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,FALSE,CAN,29,FALSE
Adams,Juan,Juan Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,FALSE,USA,34,FALSE
Adams,Anthony,Anthony Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,FALSE,USA,31,FALSE
Adashev,Zarrukh,Zarrukh Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,FALSE,UZB,28,FALSE
Adesanya,Israel,Israel Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,2,0,TRUE,NGR,31,FALSE
Adkins,Sam,Sam Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,FALSE,USA,29,FALSE
Agallar,Nick,Nick Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,FALSE,GER,29,FALSE
Agapova,Mariya,Mariya Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0,FALSE,KAZ,27,TRUE
Aguiar,Marcelo,Marcelo Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,FALSE,BRA,27,FALSE
Aguiar,Fabio,Fabio Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,FALSE,BRA,31,FALSE
Aguilar,Edwin,Edwin Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,FALSE,NCA,31,FALSE
Aguilar,Jessica,Jessica Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,FALSE,USA,31,FALSE
Aguilar,Kevin,Kevin Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,FALSE,USA,27,TRUE
Aguilar,Jesus,Jesus Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,8,2,0,FALSE,MEX,31,FALSE
Aguilera,Christian,Christian Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,FALSE,USA,27,FALSE
Aguirre,Nick,Nick Aguirre,Slick,"5' 9""",145 lbs.,"74.0""",Southpaw,7,1,0,FALSE,ARG,29,FALSE
Aina,Mike,Mike Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,FALSE,USA,27,FALSE
Ajim,Ashiek,Ashiek Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,FALSE,BRA,31,FALSE
Akano,Hitomi,Hitomi Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,FALSE,JPN,31,FALSE
Akhmedov,Omari,Omari Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,FALSE,RUS,29,FALSE
Akiyama,Yoshihiro,Yoshihiro Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,FALSE,JPN,28,FALSE
Akman,Rostem,Rostem Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,FALSE,SWE,29,FALSE
Al-Hassan,Razak,Razak Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,FALSE,RUS,29,FALSE
Al-Selwady,Abdul-Kareem,Abdul-Kareem Al-Selwady,Pride of Palestine,--,155 lbs.,--,,14,3,0,FALSE,JOR,#N/A,FALSE
Al-Turk,Mostapha,Mostapha Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,FALSE,USA,29,FALSE
Alacabek,Herdem,Herdem Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,FALSE,JOR,31,FALSE
Alanis,Javi,Javi Alanis,,"5' 6""",135 lbs.,--,,0,4,0,FALSE,JOR,31,FALSE
